Field.code	Field	N.non.missing	N.missing	N.cases	N.controls	code	category	category.name
6148_100	Eye problems/disorders: None of the above	108817	228382	84686	24131	6148	100041	Eyesight
6148_4	Eye problems/disorders: Cataract	108817	228382	10475	98342	6148	100041	Eyesight
6149_1	Mouth/teeth dental problems: Mouth ulcers	336138	1061	34398	301740	6149	100046	Mouth
6149_100	Mouth/teeth dental problems: None of the above	336138	1061	204310	131828	6149	100046	Mouth
6149_3	Mouth/teeth dental problems: Bleeding gums	336138	1061	43469	292669	6149	100046	Mouth
6149_4	Mouth/teeth dental problems: Loose teeth	336138	1061	13238	322900	6149	100046	Mouth
6149_5	Mouth/teeth dental problems: Toothache	336138	1061	13290	322848	6149	100046	Mouth
6149_6	Mouth/teeth dental problems: Dentures	336138	1061	56894	279244	6149	100046	Mouth
6150_100	Vascular/heart problems diagnosed by doctor: None of the above	336683	516	236530	100153	6150	100044	Medical conditions
6150_2	Vascular/heart problems diagnosed by doctor: Angina	336683	516	10618	326065	6150	100044	Medical conditions
6150_4	Vascular/heart problems diagnosed by doctor: High blood pressure	336683	516	91033	245650	6150	100044	Medical conditions
6151_7	Fractured bone site(s): Other bones	335546	1653	17380	318166	6151	100044	Medical conditions
6152_100	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: None of the above	336782	417	228530	108252	6152	100044	Medical conditions
6152_8	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Asthma	336782	417	38791	297991	6152	100044	Medical conditions
6152_9	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema	336782	417	77891	258891	6152	100044	Medical conditions
6153_1	Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Cholesterol lowering medication	180203	156996	22705	157498	6153	100045	Medication
6153_100	Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: None of the above	180203	156996	124239	55964	6153	100045	Medication
6153_2	Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication	180203	156996	31488	148715	6153	100045	Medication
6153_4	Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Hormone replacement therapy	180203	156996	13365	166838	6153	100045	Medication
6154_1	Medication for pain relief, constipation, heartburn: Aspirin	333581	3618	46946	286635	6154	100045	Medication
6154_100	Medication for pain relief, constipation, heartburn: None of the above	333581	3618	184936	148645	6154	100045	Medication
6154_2	Medication for pain relief, constipation, heartburn: Ibuprofen (e.g. Nurofen)	333581	3618	49411	284170	6154	100045	Medication
6154_3	Medication for pain relief, constipation, heartburn: Paracetamol	333581	3618	72882	260699	6154	100045	Medication
6154_5	Medication for pain relief, constipation, heartburn: Omeprazole (e.g. Zanprol)	333581	3618	20058	313523	6154	100045	Medication
6155_100	Vitamin and mineral supplements: None of the above	335591	1608	231424	104167	6155	100045	Medication
6155_2	Vitamin and mineral supplements: Vitamin B	335591	1608	13498	322093	6155	100045	Medication
6155_3	Vitamin and mineral supplements: Vitamin C	335591	1608	28536	307055	6155	100045	Medication
6155_4	Vitamin and mineral supplements: Vitamin D	335591	1608	12510	323081	6155	100045	Medication
6155_7	Vitamin and mineral supplements: Multivitamins +/- minerals	335591	1608	71695	263896	6155	100045	Medication
6157_100	Why stopped smoking: None of the above	82082	255117	16472	65610	6157	100058	Smoking
6157_3	Why stopped smoking: Health precaution	82082	255117	51560	30522	6157	100058	Smoking
6157_4	Why stopped smoking: Financial reasons	82082	255117	20359	61723	6157	100058	Smoking
6159_1	Pain type(s) experienced in last month: Headache	336650	549	66967	269683	6159	100048	Pain
6159_100	Pain type(s) experienced in last month: None of the above	336650	549	136199	200451	6159	100048	Pain
6159_3	Pain type(s) experienced in last month: Neck or shoulder pain	336650	549	76404	260246	6159	100048	Pain
6159_4	Pain type(s) experienced in last month: Back pain	336650	549	85221	251429	6159	100048	Pain
6159_5	Pain type(s) experienced in last month: Stomach or abdominal pain	336650	549	28098	308552	6159	100048	Pain
6159_6	Pain type(s) experienced in last month: Hip pain	336650	549	37714	298936	6159	100048	Pain
6159_7	Pain type(s) experienced in last month: Knee pain	336650	549	71561	265089	6159	100048	Pain
6162_1	Types of transport used (excluding work): Car/motor vehicle	335650	1549	268888	66762	6162	100054	Physical activity
6162_2	Types of transport used (excluding work): Walk	335650	1549	165354	170296	6162	100054	Physical activity
6162_3	Types of transport used (excluding work): Public transport	335650	1549	99542	236108	6162	100054	Physical activity
6162_4	Types of transport used (excluding work): Cycle	335650	1549	23918	311732	6162	100054	Physical activity
6164_1	Types of physical activity in last 4 weeks: Walking for pleasure (not as a means of transport)	335599	1600	241930	93669	6164	100054	Physical activity
6164_100	Types of physical activity in last 4 weeks: None of the above	335599	1600	19551	316048	6164	100054	Physical activity
6164_2	Types of physical activity in last 4 weeks: Other exercises (eg: swimming, cycling, keep fit, bowling)	335599	1600	162803	172796	6164	100054	Physical activity
6164_3	Types of physical activity in last 4 weeks: Strenuous sports	335599	1600	34693	300906	6164	100054	Physical activity
6164_4	Types of physical activity in last 4 weeks: Light DIY (eg: pruning, watering the lawn)	335599	1600	175376	160223	6164	100054	Physical activity
6164_5	Types of physical activity in last 4 weeks: Heavy DIY (eg: weeding, lawn mowing, carpentry, digging)	335599	1600	147922	187677	6164	100054	Physical activity
6177_1	Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication	154702	182497	35840	118862	6177	100045	Medication
6177_100	Medication for cholesterol, blood pressure or diabetes: None of the above	154702	182497	103004	51698	6177	100045	Medication
6177_2	Medication for cholesterol, blood pressure or diabetes: Blood pressure medication	154702	182497	38548	116154	6177	100045	Medication
6179_1	Mineral and other dietary supplements: Fish oil (including cod liver oil)	336314	885	106738	229576	6179	100045	Medication
6179_100	Mineral and other dietary supplements: None of the above	336314	885	191371	144943	6179	100045	Medication
6179_2	Mineral and other dietary supplements: Glucosamine	336314	885	65971	270343	6179	100045	Medication
6179_3	Mineral and other dietary supplements: Calcium	336314	885	22047	314267	6179	100045	Medication
6179_4	Mineral and other dietary supplements: Zinc	336314	885	13151	323163	6179	100045	Medication
757	Time employed in main current job	180531	156668	NA	NA	757	100064	Employment
767	Length of working week for main job	188166	149033	NA	NA	767	100064	Employment
777	Frequency of travelling from home to job workplace	190557	146642	NA	NA	777	100064	Employment
78	Heel bone mineral density (BMD) T-score, automated	194398	142801	NA	NA	78	100018	Bone-densitometry of heel
796	Distance between home and job workplace	161121	176078	NA	NA	796	100064	Employment
806	Job involves mainly walking or standing	190606	146593	NA	NA	806	100064	Employment
816	Job involves heavy manual or physical work	190643	146556	NA	NA	816	100064	Employment
826	Job involves shift work	190442	146757	NA	NA	826	100064	Employment
845	Age completed full time education	226899	110300	NA	NA	845	100063	Education
864	Number of days/week walked 10+ minutes	331654	5545	NA	NA	864	100054	Physical activity
874	Duration of walks	288266	48933	NA	NA	874	100054	Physical activity
884	Number of days/week of moderate physical activity 10+ minutes	321309	15890	NA	NA	884	100054	Physical activity
894	Duration of moderate activity	251031	86168	NA	NA	894	100054	Physical activity
90088	No-wear time bias adjusted acceleration standard deviation	72615	264584	NA	NA	90088	1009	Acceleration averages
904	Number of days/week of vigorous physical activity 10+ minutes	321533	15666	NA	NA	904	100054	Physical activity
914	Duration of vigorous activity	183731	153468	NA	NA	914	100054	Physical activity
924	Usual walking pace	335349	1850	NA	NA	924	100054	Physical activity
943	Frequency of stair climbing in last 4 weeks	334169	3030	NA	NA	943	100054	Physical activity
971	Frequency of walking for pleasure in last 4 weeks	240924	96275	NA	NA	971	100054	Physical activity
981	Duration walking for pleasure	240788	96411	NA	NA	981	100054	Physical activity
991	Frequency of strenuous sports in last 4 weeks	34321	302878	NA	NA	991	100054	Physical activity
